path,width,height,orientation,brightness,saturation_proxy,clip_low_pct,clip_high_pct,r_mean,g_mean,b_mean,size_bytes,fast_sha1
/Volumes/未命名/大模型/原图1/058A1952.JPG,4000,2667,landscape,143.51,2.26,0.267,1.726,141.05,142.96,146.51,2890209,b4219928380743510aa2418334e752a880476f06
/Volumes/未命名/大模型/原图1/DSC01703.JPG,2000,1125,landscape,178.65,11.67,0.011,0.648,190.15,162.65,183.16,2402086,20fedc7df1d82fe78898c6b490886d110b6ecaff
/Volumes/未命名/大模型/原图1/DAP08037.JPG,1333,2000,portrait,126.09,9.09,0.051,0.508,136.36,127.66,114.27,664588,6de3a8ef2d831fa0f7f384444b9306fca9374525
/Volumes/未命名/大模型/原图1/DSC01650_副本.JPG,1125,2000,portrait,170.75,14.79,0.0,0.0,177.66,150.2,184.4,2565570,c429d65a2c4d9fe82feecd1bfb88fc89072dcd60
/Volumes/未命名/大模型/原图1/DSC02055.JPG,4000,2666,landscape,81.19,6.48,0.145,0.083,90.3,77.52,75.74,2449520,6038f085a3033cbfca10c5cb65ea0d59cf850c5b
/Volumes/未命名/大模型/原图1/DAP00336 2.JPG,1333,2000,portrait,72.56,6.91,0.761,0.2,72.34,81.14,64.21,1077445,6c9cb09ee310ed1dec9ec13e62fb9761bfc7222c
/Volumes/未命名/大模型/原图1/DAP05457.JPG,2000,1333,landscape,116.52,9.21,0.0,0.007,103.96,119.79,125.8,860897,7a047ad6f6009d2fda3609b2fafde47890922204
/Volumes/未命名/大模型/原图1/DAP02917.JPG,2000,1333,landscape,49.6,10.96,0.905,0.0,65.11,41.62,42.08,1866160,f2acd8360ee837d08207c09f6fa9ad2b9cd2a6f0
/Volumes/未命名/大模型/原图1/DSC05641_副本.JPG,2000,1333,landscape,106.18,3.83,1.399,1.057,100.77,108.7,109.06,885196,897849b58ba577c2ba205ffa98cab0d5239f2c84
/Volumes/未命名/大模型/原图1/DSC04246.JPG,1333,2000,portrait,97.29,4.82,2.358,0.0,104.12,93.87,93.9,900932,0baeeeef9dc5e3ddaae9c6f30d135bd2b0c34752
/Volumes/未命名/大模型/原图1/DAP00922.JPG,2000,1333,landscape,104.07,5.27,0.179,0.002,110.0,105.02,97.19,869654,2b2983cfbc0a714a1094e07c04c3db79e6e793f0
/Volumes/未命名/大模型/原图1/DAP03668.JPG,1333,2000,portrait,82.97,3.81,1.579,0.0,87.76,82.71,78.44,733586,b4b4445dc9ccce1dd5b314417077b056e4fb3697
/Volumes/未命名/大模型/原图1/DAP02413(1).JPG,2000,1333,landscape,119.47,13.03,0.0,0.0,103.67,119.18,135.58,822442,b0ede806816327c8c51bf0909b3a26ff5f5cda38
/Volumes/未命名/大模型/原图1/AAA01067.JPG,2666,4000,portrait,142.71,7.35,0.0,0.0,146.84,132.38,148.9,2095497,7e49b055527e24b0b234c290c288df9941f541bd
/Volumes/未命名/大模型/原图1/AAA02371.JPG,4000,2666,landscape,103.72,7.92,0.0,0.0,103.85,93.95,113.35,4602423,02818c722fe67d6f38f3ca47b9ac01be894bb0e7
/Volumes/未命名/大模型/原图1/AAA03834.JPG,4000,2666,landscape,100.09,7.62,0.0,0.0,100.08,90.77,109.42,4707788,97842a9ce3268d4a33c84b7676b0293ba66e0c29
/Volumes/未命名/大模型/原图1/DAP04500.JPG,2000,1333,landscape,132.05,14.47,0.002,6.091,152.39,119.94,123.83,1305276,16c6bbb27234b475b153cbe4739c19039a47a63c
/Volumes/未命名/大模型/原图1/DAP09991 2.JPG,2000,1333,landscape,101.4,7.58,0.094,0.009,111.86,98.26,94.09,914407,3bf6ac71d0a8af1a8cb7f5b843a963350f089af1
/Volumes/未命名/大模型/原图1/DAP00231 3.JPG,2000,1333,landscape,67.79,34.51,0.078,0.0,116.48,46.33,40.57,725749,510351406ca3ba93b2b475775dfe4f7bd1913bda
/Volumes/未命名/大模型/原图1/DSC01981.JPG,1125,2000,portrait,138.96,13.56,0.274,0.019,150.22,119.88,146.78,2517147,d5bca2f967aa64a7b556c1f949114b165aac9686
/Volumes/未命名/大模型/原图1/DAP02927.JPG,2000,1333,landscape,111.63,10.17,0.009,0.007,125.93,105.86,103.1,1755126,cdf0dafec4f48969714f7b7a7d0c29e664d8e378
/Volumes/未命名/大模型/原图1/AAA00465.JPG,4000,2666,landscape,134.54,12.53,0.0,0.078,129.53,122.31,151.76,3936421,22f6eacbf1b1de09a06b81f095898ffbc6623613
/Volumes/未命名/大模型/原图1/DAP02012.JPG,2000,1333,landscape,105.86,29.48,0.044,0.0,147.55,84.45,85.6,961001,3851491ef52684e431997262eeb36732e8faa8f3
/Volumes/未命名/大模型/原图1/DAP03158.JPG,2000,1333,landscape,60.46,3.74,1.365,0.051,65.74,57.57,58.06,836623,4cafd2c31f98029beecc6cf99d8f2149a93ea640
/Volumes/未命名/大模型/原图1/DAP01642.JPG,2000,1333,landscape,78.11,15.78,0.363,3.196,100.38,65.77,68.19,892513,eee16827bd8edd94e3b72d11031e5d3fecde6bcf
/Volumes/未命名/大模型/原图1/AAA03055.JPG,2666,4000,portrait,122.38,8.87,0.005,0.0,121.74,111.84,133.55,4646357,7293efabca5a4fab552dd3b3d699d6526f3b6d36
/Volumes/未命名/大模型/原图1/DSC01404_副本.JPG,1125,2000,portrait,147.81,9.94,0.214,0.005,153.67,133.81,155.95,2315653,5ae1960e0035191c77bdfe18061fe1f0119e8f82
/Volumes/未命名/大模型/原图1/DSC03398.JPG,2000,1333,landscape,157.62,10.83,0.002,6.815,142.5,163.09,167.27,2679501,cccc699af52ddd8a46d0f6d12decded9d95163c4
/Volumes/未命名/大模型/原图1/DAP02240.JPG,1333,2000,portrait,69.02,3.07,0.579,0.94,73.35,66.94,66.76,813647,e01becf1f6edec64e84084da24f26b7ec2a1edfe
/Volumes/未命名/大模型/原图1/DAP08835.JPG,2000,1333,landscape,137.22,17.37,0.0,0.053,161.24,129.64,120.78,1235484,8ee8b77f30c8b725d6cb45bb27ae5cb610391e7d
/Volumes/未命名/大模型/原图1/DSC00053.JPG,1439,1079,landscape,177.36,18.46,0.016,6.763,201.83,157.24,173.0,380351,5be24885a1a3f0c13796152f731f4d6792f28aaf
/Volumes/未命名/大模型/原图1/AAA00774.JPG,4000,2666,landscape,141.37,13.93,0.021,0.039,144.56,122.93,156.61,1841474,18dffa4db84c94072eb0ec9bb42dea543377218f
/Volumes/未命名/大模型/原图1/DAP00026 3.JPG,1333,2000,portrait,56.23,11.6,0.676,0.005,56.11,70.51,42.09,1620025,7539c093378b1b45f03f433f1983501ea6a95f12
/Volumes/未命名/大模型/原图1/DAP02637(1).JPG,2000,1333,landscape,114.08,11.09,0.034,3.21,99.49,116.36,126.37,969794,afaee43922611eb57c5a4fbd889b587f9ef4806d
/Volumes/未命名/大模型/原图1/DSC00676.JPG,2000,1333,landscape,99.18,9.67,0.887,0.48,107.58,85.62,104.33,919340,d89c0631ad7d95a34028c00e7e3f6e2064f47385
/Volumes/未命名/大模型/原图1/DAP05954.JPG,1333,2000,portrait,33.42,4.23,39.488,0.115,39.02,32.46,28.78,889040,3398ffc69704f6dbcc3050fc8ec67f7412705631
/Volumes/未命名/大模型/原图1/DSC05498(1).JPG,2000,1333,landscape,140.29,5.94,0.0,0.002,132.37,141.84,146.66,1155754,b5c0331c6cf8aa6116fe7f9c82c401c034ed23e8
/Volumes/未命名/大模型/原图1/483A6191.JPG,4176,2784,landscape,48.81,7.51,1.268,0.094,51.22,38.64,56.55,4775721,d867b27afbd8b0e95c4d488f94a67c4427d40f5d
/Volumes/未命名/大模型/原图1/DAP07456.JPG,2000,1333,landscape,104.31,4.49,0.076,0.407,110.65,100.94,101.33,1278241,16343911bdce9e6a3989730e3313715b6d437620
